20230305	07:07:47	82fc5ddd-66be-440b-b4a2-45413d7d62aa	 DELETE	undefined	/employees
20230305	07:08:36	ef91c2ab-900c-4f39-920d-6c5b4ea81b6e	 DELETE	undefined	/employees
20230305	07:09:58	d8d6d5ce-a0c4-4c7e-aa3d-1665d3673459	 DELETE	undefined	/employees
20230305	07:11:40	0df2c3ae-2299-428b-bfc3-ecd1e26f951f	 DELETE	undefined	/employees
20230305	07:11:55	035fdbd3-ac9c-47e8-97f9-c9452ed39f23	 POST	undefined	/employees
20230305	07:12:14	c4be07c2-0cf4-4eba-b16c-8259f805ff9d	 PUT	undefined	/employees
20230306	11:27:27	10dec354-c1e3-4003-884b-093989ceb463	 GET	undefined	/
20230306	11:27:27	e8c2162b-5ff0-455d-bb45-d4c2046e3c51	 GET	undefined	/css/style.css
20230306	11:27:27	a1ba3bec-6d8f-43ad-b487-ff7af4b0409e	 GET	undefined	/favicon.ico
20230306	11:28:57	f58f160f-eceb-413e-b069-53ce8de28de6	 GET	undefined	/
20230306	11:28:57	1e7981d4-0e8c-457a-bf70-0cecfcd983f7	 GET	undefined	/css/style.css
20230306	11:28:59	25757650-2bbb-45a2-ad45-37bbde514eab	 GET	undefined	/
20230306	11:28:59	105b323e-e7b8-4dd2-a99e-24b3865de656	 GET	undefined	/css/style.css
20230306	11:30:03	7f803a5a-217c-46b8-a8fe-a662951da12f	 POST	undefined	/register
20230306	11:30:28	811c7c28-a1af-42ce-b840-aec6186f0b88	 POST	undefined	/register
20230306	11:31:46	83a976ec-0ef9-475d-a976-5ab925f8fef2	 POST	undefined	/register
20230306	11:33:35	9b17b680-8766-4093-9625-c2558d00689b	 POST	undefined	/register
20230306	11:34:17	3671ad42-151d-4fca-9bfa-1d5b790ede03	 POST	undefined	/register
20230306	12:01:18	553340c4-3b02-417b-8e01-7dc349428c17	 GET	undefined	/
20230306	12:01:18	3cbfc458-18ae-4de2-9ca8-b603bf917260	 GET	undefined	/css/style.css
20230306	12:11:39	42997520-d85b-4e91-a20c-70f9ed499401	 POST	undefined	/auth
20230306	12:14:12	aa45b59d-c645-4618-89fd-ce9d01c09d14	 POST	undefined	/auth
20230306	12:14:39	c89dd6f4-19ca-4e4b-a5a9-a7d9e5543e09	 POST	undefined	/auth
20230306	12:15:27	78e1a8b5-8803-4182-9493-8096b5b1bf89	 POST	undefined	/auth
20230306	12:15:29	1a086e71-3138-47f2-9eb4-86fb408306ff	 POST	undefined	/auth
20230306	12:15:33	4898026c-dfae-4078-983d-08b656988c40	 POST	undefined	/auth
20230306	12:16:29	d935e4c5-f378-4898-82b7-55a88690ff9d	 POST	undefined	/auth
20230306	12:16:33	99c3b8ce-4a70-4582-8d12-88936b51b18f	 POST	undefined	/auth
20230306	12:16:34	d2b46cbc-6b59-438a-bca8-b0d0a2b0aa73	 POST	undefined	/auth
20230306	12:17:14	48ad3cf6-b99f-41da-8602-216492cb3de3	 POST	undefined	/auth
20230306	12:17:37	6f473858-2b87-487f-85e3-4b018d0ec2ee	 POST	undefined	/auth
20230306	12:18:07	52ebfa2b-c687-4132-af68-fc51b2c75db4	 POST	undefined	/register
20230306	12:18:15	0c919917-1fe2-49b6-b17c-19374c8f67bc	 POST	undefined	/register
20230306	12:21:26	884e3ad0-e55d-4136-b430-ce433ba173a4	 POST	undefined	/auth
20230306	12:28:19	12033b23-e7aa-4e0b-80f2-796ec6e0b743	 POST	undefined	/auth
20230306	12:28:25	4c700b1c-0d3f-4df4-8e62-18864c6b9b11	 POST	undefined	/auth
20230306	12:28:32	7ee57240-6c7e-418b-8c9d-f99baedbb883	 POST	undefined	/auth
20230306	12:29:35	1fcbc1a2-0f96-41d0-ae57-42fdfffc0a07	 POST	undefined	/auth
20230306	12:29:45	c9c0f423-020c-4355-91f1-b3fb8aab6bc8	 POST	undefined	/register
20230306	12:29:51	a876b037-69b4-4001-a668-bc96c96fc83d	 POST	undefined	/register
20230306	12:29:59	c6014260-1e94-42e2-a3a6-88bcd8698a1f	 POST	undefined	/register
20230306	12:30:02	222d8a94-4b4f-4314-b1f3-7f15b653ba03	 POST	undefined	/register
20230306	12:30:32	0cad78b7-39ce-4a93-8396-894a81722eda	 POST	undefined	/auth
20230309	05:32:58	138d1b4b-5f94-4a8e-a0aa-889af4e73bf7	 POST	undefined	/auth
20230309	05:34:26	3f6274f8-8380-49ce-ae08-c9bae15e5503	 POST	undefined	/auth
20230309	05:37:10	7aede941-b461-4f41-a72c-a5e5db8af702	 POST	undefined	/auth
20230309	05:37:23	f16f5e96-0047-42fc-9427-00b4db5c4a43	 GET	undefined	/employees
20230309	05:37:51	8c2389cc-01fe-4edf-b159-7718da6458a5	 GET	undefined	/employees
20230309	05:43:34	9d4e3cf0-0725-48e7-8b42-c5a39191c89f	 POST	undefined	/auth
20230309	05:43:53	cb74f786-2538-4dad-b729-50c97bbe330f	 GET	undefined	/employees
20230309	05:44:07	6a13822e-5f8c-4a21-8a58-2bfd26bf26fd	 GET	undefined	/employees
20230309	05:44:11	b7f97a81-ff59-421a-833d-d247a4e51fda	 GET	undefined	/employees
20230309	05:44:15	f2dc6c00-ef9f-4b87-b4b5-9da3be08cda8	 POST	undefined	/auth
20230309	05:44:27	6939daa0-02b1-43c2-93b4-2f52a6575f55	 GET	undefined	/employees
20230309	05:44:28	cf653789-5d99-40fd-9b5d-b6c3ddbafc29	 GET	undefined	/employees
20230309	05:44:29	467e1233-1a84-4e7d-b223-d5ba985afa15	 GET	undefined	/employees
20230309	05:44:30	096cdc28-4381-4340-bb74-551aafd44a90	 GET	undefined	/employees
20230309	05:44:31	65b73e05-fe22-4ca2-877a-3a057748c2e8	 GET	undefined	/employees
20230309	05:44:31	fe063570-269b-476d-ae10-6ad450ead150	 GET	undefined	/employees
20230309	05:44:31	3b90f352-b1ef-4336-88d5-95eb15a5f3cf	 GET	undefined	/employees
20230309	05:44:32	66be162e-6705-4003-9666-23d457ac6354	 GET	undefined	/employees
20230309	05:44:32	5f70f57e-2663-4702-b6e7-9ad525e8bca8	 GET	undefined	/employees
20230309	05:44:32	1262ca8c-081e-4ce4-9304-95344490dbe6	 GET	undefined	/employees
20230309	05:44:32	89af9041-8e1a-4a51-86d7-227ffddbd097	 GET	undefined	/employees
20230309	05:44:32	c209a96d-553a-4ab1-964a-4d206b8b4d06	 GET	undefined	/employees
20230309	05:44:33	dc4543c7-ee72-4d00-bea8-dd12476f59d9	 GET	undefined	/employees
